Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C24,1uF,C_0402_1005Metric,93.630000,-129.150000,-90.000000,top
C25,1uF,C_0402_1005Metric,105.540000,-130.240000,-90.000000,top
C27,1uF,C_0402_1005Metric,111.531000,-65.931000,0.000000,top
C29,0.1uF,C_0402_1005Metric,96.120000,-137.410000,0.000000,top
C30,6.8pF,C_0402_1005Metric,124.043000,-76.096000,90.000000,top
C31,6.8pF,C_0402_1005Metric,121.159000,-76.105000,90.000000,top
C32,470pF,C_0402_1005Metric,94.420000,-118.050000,180.000000,top
C33,0.1uF,C_0402_1005Metric,82.970000,-130.760000,90.000000,top
C34,47uF,C_1210_3225Metric,94.281600,-85.970200,0.000000,top
C35,1uF,C_0402_1005Metric,82.170000,-87.720000,180.000000,top
C36,47uF,C_1210_3225Metric,94.241600,-89.380200,0.000000,top
C37,47uF,C_1210_3225Metric,94.241600,-92.740200,0.000000,top
C38,1uF,C_0805_2012Metric,101.783000,-68.161600,-90.000000,top
C39,3.3nF,C_0402_1005Metric,105.115400,-67.480800,0.000000,top
C40,180pF,C_0805_2012Metric,97.383000,-65.268000,180.000000,top
C41,1.5nF,C_0805_2012Metric,97.405400,-63.005800,180.000000,top
C42,0.1uF,C_0402_1005Metric,96.669800,-73.128000,0.000000,top
C43,10uF,C_0805_2012Metric,104.265600,-70.297800,90.000000,top
C44,1uF,C_0402_1005Metric,95.930000,-97.140000,0.000000,top
C45,470pF,C_0805_2012Metric,92.070000,-66.420000,0.000000,top
C46,220uF,CAP_2R5TPE220MAFB,102.351600,-89.640200,180.000000,top
C47,100uF,C_1206_3216Metric,102.311600,-92.610200,180.000000,top
C49,1uF,C_0402_1005Metric,115.489000,-64.125000,-90.000000,top
C50,1uF,C_0402_1005Metric,127.000000,-111.760000,180.000000,top
C51,10uF,C_0805_2012Metric,131.390000,-82.740000,0.000000,top
C52,0.1uF,C_0402_1005Metric,131.270000,-80.550000,0.000000,top
D1,SS310,SMA_L4.3-W2.6-LS5.2-RD,124.460000,-96.520000,0.000000,top
L1,150nH,FP1005R1-R15-R,106.000600,-81.921400,-90.000000,top
Q1,CSD17311Q5,CSD17311Q5,91.719887,-80.066364,90.000000,top
Q2,CSD17311Q5,CSD17311Q5,97.681600,-80.110200,-90.000000,top
R1,1k,R_0402_1005Metric,118.490000,-116.520000,180.000000,top
R2,0,R_0402_1005Metric,116.380000,-121.740000,180.000000,top
R3,0,R_0402_1005Metric,116.410000,-117.890000,180.000000,top
R4,10k,R_0402_1005Metric,109.955000,-71.760000,180.000000,top
R5,0,R_0402_1005Metric,116.410000,-119.250000,180.000000,top
R6,10k,R_0402_1005Metric,97.500000,-121.340000,-90.000000,top
R7,100,R_0402_1005Metric,93.910000,-116.670000,0.000000,top
R8,100,R_0402_1005Metric,94.990000,-119.670000,180.000000,top
R9,10k,R_0402_1005Metric,80.700000,-131.700000,90.000000,top
R10,3.83k,R_0402_1005Metric,94.828800,-64.083600,-90.000000,top
R11,100k,R_0402_1005Metric,105.114000,-66.292000,0.000000,top
R12,4.12k,R_0402_1005Metric,99.160200,-73.123400,0.000000,top
R13,1.33k,R_0402_1005Metric,90.649600,-64.079000,-90.000000,top
R14,4.99k,R_0402_1005Metric,92.057300,-64.079000,-90.000000,top
R15,3.32k,R_0402_1005Metric,93.465000,-64.079000,90.000000,top
R16,80k,R_0402_1005Metric,94.330000,-102.040000,180.000000,top
R17,DNP,R_0402_1005Metric,91.420000,-102.040000,0.000000,top
R20,10k,R_0402_1005Metric,130.050000,-111.760000,180.000000,top
R21,60.4,R_0402_1005Metric,96.110000,-54.220000,0.000000,top
R22,60.4,R_0402_1005Metric,106.960000,-54.180000,0.000000,top
R24,10k,R_0402_1005Metric,90.290000,-137.350000,180.000000,top
R25,19.1k,R_0402_1005Metric,90.320000,-138.540000,0.000000,top
R26,100,R_0402_1005Metric,96.110000,-55.220000,0.000000,top
R27,100,R_0402_1005Metric,106.960000,-55.180000,0.000000,top
R28,261,R_0402_1005Metric,96.110000,-56.220000,0.000000,top
R29,261,R_0402_1005Metric,106.960000,-56.190000,0.000000,top
R36,10k,R_0402_1005Metric,96.090000,-138.500000,0.000000,top
U1,25MHz,O 25,0-JO32-B-1V3-1-T1-LF,115.190000,-125.020000,90.000000,top
U2,TXB0104RGYR,TXB0104,116.330000,-99.783600,-90.000000,top
U5,MCP1824T-1802E,SOT-23-5,90.620000,-129.340000,0.000000,top
U6,MCP1824T-0802E,SOT-23-5,102.320000,-130.240000,0.000000,top
U7,EMC2101,TSSOP-8_3x3mm_P0.65mm,81.680000,-136.180000,-90.000000,top
U8,INA260,TSSOP-16_4.4x5mm_P0.65mm,82.640000,-81.770000,0.000000,top
U9,TPS40305,TPS40305,98.201691,-69.422200,-90.000000,top
U10,DS4432U+,TSSOP-8_3x3mm_P0.65mm,93.040000,-99.540000,0.000000,top
U11,RT9080-33GJ5,RT9080-33GJ5,112.563000,-63.380000,0.000000,top
Y1,32.768kHz,SC32S-7PF20PPM,122.595000,-78.349000,180.000000,top
